,index,Spanish-es,emotion
89,190,adecuado,anticipation
90,193,adherirse,fear
91,194,adhiriendo,trust
92,195,adicto,trust
93,196,adiós,anticipation
94,198,adivinar,joy
95,200,administración,anger
96,202,administrativo,trust
97,203,admirable,joy
98,205,admiración,joy
99,209,admirar,surprise
100,211,admisible,trust
101,212,admitir,trust
102,214,adoctrinamiento,anger
103,216,adorable,joy
104,217,adoración,joy
105,219,adorar,anticipation
106,222,adquisidor,anticipation
107,223,adulterio,disgust
108,225,adversario,anger
109,230,adversidad,anger
110,233,adverso,anger
111,239,advertencia,fear
112,240,advertido,fear
113,241,advertir,anticipation
114,245,adviento,anticipation
115,248,aeropuerto,anticipation
116,249,ábaco,trust
117,250,ácaro,disgust
118,251,áfido,disgust
119,252,ágape,anticipation
120,254,águila,trust
121,255,ángel,anticipation
122,259,ánimo,anger
123,264,ántrax,disgust
124,267,árbitro,trust
125,271,árbol,anger
126,277,árbol genealógico,trust
127,278,árboles,joy
128,279,árido,sadness
129,280,áspid,fear
130,281,élite,anticipation
131,284,éxito,anticipation
132,286,éxtasis,anticipation
133,288,afán,anticipation
134,291,íncubo,disgust
135,293,íntimamente,anticipation
136,296,íntimo,anticipation
137,299,úlcera,anger
138,303,último,anticipation
139,305,último minuto,fear
140,306,único,joy
141,308,afecto,joy
142,310,afilar,anger
143,312,afirmando,trust
144,313,afirmar,trust
145,314,afirmativamente,joy
146,316,aflicción,disgust
147,323,afligido,fear
148,326,afligir,fear
149,329,afligirse,fear
150,331,afluencia,joy
151,332,afluente,anticipation
152,333,afrenta,anger
153,338,agachándose,fear
154,339,agacharse,fear
155,340,agarrar,anger
156,341,agh,anger
157,342,agitación,anger
158,343,agitado,anger
159,344,agonía,anger
160,347,agonizante,fear
161,348,agorafobia,fear
162,349,agotado,sadness
163,350,agotador,anger
164,353,agotamiento,anticipation
165,355,agradable,anticipation
166,362,agradecido,joy
167,364,agradeciendo,joy
168,365,agrava,anger
169,366,agravación,anger
170,368,agravado,anger
171,369,agravante,anger
172,371,agresión,anger
173,373,agresivamente,anger
174,374,agresivo,anger
175,376,agresor,anger
176,386,agricultura,trust
177,387,agridulce,sadness
178,388,agrietado,anger
179,390,agrio,disgust
180,391,aguante,trust
181,392,aguas residuales,disgust
182,393,agudísimo,fear
183,394,agujas,fear
184,395,ahhh,fear
185,396,ahogar,anger
186,399,ahogo,anger
187,401,ahorcado,anger
188,402,ahorro,disgust
189,404,airado,anger
190,405,aires,disgust
191,406,aislado,fear
192,409,aislamiento,sadness
193,411,aislar,sadness
194,412,ajustar,trust
195,413,ajuste,joy
196,414,al aire libre,joy
197,415,al azar,surprise
198,416,alabado,joy
199,418,alabando,joy
200,419,alabanza,joy
201,421,alabanzas,joy
202,422,alabar,trust
203,423,Aléjate,joy
204,424,alarma,fear
205,426,alarmante,fear
206,429,albardilla,sadness
207,430,alborada,anticipation
208,431,alboroto,anger
209,435,alcantarilla,disgust
210,436,alcantarillado,disgust
211,437,alcanzable,anticipation
212,438,alcoholismo,anger
213,442,aldeano,trust
214,443,alegación,anger
215,444,alegría,anticipation
216,456,alegrías,joy
217,457,alegrarse,anticipation
218,461,alegre,anticipation
219,472,alejado,anger
220,475,aleluya,joy
221,476,alentado,joy
222,477,alentar,joy
223,479,alerón,sadness
224,480,alertas,anticipation
225,483,alfiler,trust
226,484,algarabía,anger
227,485,alguacil,fear
228,489,aliado,trust
229,491,Alianza,joy
230,493,alienación,anger
231,497,alienado,sadness
232,498,aligerar,joy
233,499,alimañas,anger
234,502,aliviado,joy
235,503,alivio,joy
236,504,alma,joy
237,505,alma gemela,fear
238,506,almacenar,anticipation
239,507,almirante,trust
240,508,almuerzo,joy
241,509,aloha,anticipation
242,511,alojamiento,trust
243,512,alquiler,anticipation
244,515,alta burguesía,trust
245,516,altercado,anger
246,517,alto el fuego,fear
247,518,alucinación,fear
248,519,ama de casa,trust
249,520,amañado,anger
250,521,amabilidad,joy
251,524,amable,joy
252,527,amado,joy
253,528,Amén,joy
254,530,amanecer,anticipation
255,535,amaneció,fear
256,536,amante,anger
257,541,amargamente,anger
258,544,amargura,anger
259,548,amarras,trust
260,549,ambición,anticipation
261,552,ambicioso,anticipation
262,555,ambulancia,fear
263,557,amenaza,anger
264,561,amenazador,anger
265,563,amenazante,anger
266,568,amenazar,anger
267,571,amigo,joy
268,573,amigos,joy
269,574,amistad,joy
270,576,amistoso,anticipation
271,580,amnistía,joy
272,581,amoníaco,disgust
273,582,amonestación,fear
274,583,amor,joy
275,587,amor verdadero,joy
276,588,amoroso,joy
277,590,amortización,trust
278,591,ampolla,disgust
279,592,anaconda,disgust
280,594,analfabeto,disgust
281,595,analista,anticipation
282,597,anarquía,anger
283,599,anarquismo,anger
284,601,anarquista,anger
285,603,anatema,anger
286,607,ancestral,trust
287,608,ancianos,trust
288,609,anclaje,sadness
289,610,andamio,fear
290,611,anexo,disgust
291,612,anfetaminas,disgust
292,613,angelical,joy
293,615,angina,fear
294,616,Anguila,fear
295,617,angustia,anger
296,627,angustioso,anger
297,630,anhelo,anticipation
298,636,animado,joy
299,638,animar,anticipation
300,645,animosidad,anger
301,649,aniquilación,anger
302,652,aniquilado,anger
303,655,aniquilar,anger
304,657,aniversario,joy
305,659,anomalía,fear
306,661,anormal,disgust
307,662,ansia,anticipation
308,663,ansiedad,anger
309,667,ansioso,anticipation
310,673,antídoto,anticipation
311,675,antítesis,anger
312,676,antagonismo,anger
313,677,antagonista,anger
314,680,antebrazo,anger
315,682,antecristo,anger
316,685,antepasados,joy
317,687,anticipación,anticipation
318,688,anticipado,anticipation
319,689,antieconómico,anger
320,692,antigÃÂ¼edad,trust
321,693,antimicótico,trust
322,694,antinatural,disgust
323,696,antipático,anger
324,700,antipatía,anger
325,702,antiséptico,trust
326,703,antisocial,anger
327,707,antsy,fear
328,708,anulación,sadness
329,709,anular,fear
330,711,anular una hipoteca,fear
331,713,anuncio,anticipation
332,714,anuncios,anger
333,715,apache,fear
334,716,Apártate,anger
335,717,apático,sadness
336,719,apagador,sadness
337,720,apagar,fear
338,721,apagón,fear
339,722,aparición,fear
340,724,apasionado,anticipation
341,727,apatía,sadness
342,728,apelación,anticipation
343,729,apenas,sadness
344,730,apendicitis,fear
345,732,apesta,sadness
346,733,aplastada,anger
347,737,aplastado,anger
348,738,aplastante,anger
349,742,aplastar,anger
350,746,aplaudir,anticipation
351,750,aplausos,joy
352,755,aplazamiento,surprise
353,756,apocalipsis,fear
354,757,apoderado,trust
355,758,apogeo,anticipation
356,761,apologético,trust
357,762,apóstol,trust
358,763,apostólico,trust
359,764,apoyarse,trust
360,765,aprecia,joy
361,766,apreciación,joy
362,768,apreciado,joy
363,769,apreciar,anticipation
364,773,aprehender,fear
365,774,aprendiz,trust
366,775,aprensivo,anticipation
367,777,apresador,fear
368,778,apresurado,anticipation
369,779,apresurarse,fear
370,780,apretar,anger
371,781,aprobación,trust
372,782,Aprobación,trust
373,784,aprobado,joy
374,786,aprobar,joy
375,788,aprobatorio,trust
376,789,aprovechar,fear
377,790,aptitud,joy
378,791,apuntado,fear
379,792,araña,disgust
380,794,arañas,fear
381,795,arancel,anger
382,797,arbitraje,anticipation
383,798,arco iris,joy
384,800,ardiente,anticipation
385,802,arena,joy
386,804,argh,anger
387,805,argumentación,anger
388,806,argumento,anger
389,807,argumentos,anger
390,808,armado,anger
391,810,armadura,fear
392,812,armamento,anger
393,815,armas de fuego,anger
394,817,armonía,joy
395,819,armoniosamente,joy
396,821,aromaterapia,joy
397,822,arqueología,anticipation
398,823,arquitectura,trust
399,824,arrebatado,joy
400,827,arrepentido,sadness
401,829,arrepentirse,fear
402,830,arriesgado,anticipation
403,832,arrogante,anger
404,835,arrojar,disgust
405,836,arrugado,sadness
406,837,arruinado,anger
407,847,arsénico,disgust
408,850,arseholes,anger
409,851,arsenal,trust
410,852,art,anticipation
411,856,artesanía,joy
412,857,artillería,fear
413,859,asalto,anger
414,862,asar,anger
415,863,asco,anger
416,867,asegurar,trust
417,869,asequible,joy
418,870,asesinar,anger
419,872,asesinato,anger
420,883,asesino,anger
421,902,asesor,trust
422,904,asesorar,trust
423,905,asfixia,anger
424,907,asilo,fear
425,908,asimetría,disgust
426,909,asistencia,anticipation
427,910,asistente,trust
428,911,asociación,trust
429,913,asociar,trust
430,914,asombrar,surprise
431,917,asombro,joy
432,921,asombrosamente,anticipation
433,923,asombroso,joy
434,924,aspiración,anticipation
435,928,aspirar,anticipation
436,931,asqueroso,anger
437,939,asteroide,fear
438,940,astrólogo,anticipation
439,941,astrónomo,anticipation
440,942,astucia,anger
441,947,astuto,anger
442,950,asustadizo,fear
443,951,asustado,fear
444,955,asustar,fear
445,960,asustarse,fear
446,961,ataúd,fear
447,965,atacar,anger
448,968,ataque,anger
449,970,atemorizado,surprise
450,971,atención plena,joy
451,972,atento,trust
452,973,atenuación,sadness
453,974,aterosclerosis,fear
454,976,aterrador,fear
455,977,aterronado,disgust
456,978,aterroriza,fear
457,979,aterrorizado,fear
458,980,aterrorizar,anger
459,983,atestación,trust
460,984,atestar,fear
461,985,atestiguar,trust
462,986,atleta,trust
463,987,atónito,surprise
464,988,atornillado,anger
465,989,atracción,trust
466,990,atractivo,anticipation
467,996,atrasado,anticipation
468,999,atraso,disgust
469,1000,atrevimiento,anticipation
470,1002,atrocidad,anger
471,1006,atrofia,disgust
472,1009,atropello,anger
473,1011,atroz,anger
474,1013,aturdido,fear
475,1015,aturdimiento,surprise
476,1016,aturdir,surprise
477,1017,audaz,fear
478,1018,audición,fear
479,1020,audiciones,fear
480,1022,audiencia,anticipation
481,1023,auditor,fear
482,1025,aullido,anger
483,1030,aumentar,fear
484,1032,aura,joy
485,1033,ausencia,fear
486,1035,ausente,sadness
487,1037,auspicios,anticipation
488,1038,austero,fear
489,1040,auténtico,joy
490,1043,autenticación,trust
491,1044,autenticar,trust
492,1045,autenticidad,trust
493,1046,autismo,trust
494,1047,autocorrección,anger
495,1048,automático,trust
496,1049,autopsia,disgust
497,1052,autor,anger
498,1057,autoridad,trust
499,1058,autoritario,trust
500,1059,autorización,trust
501,1060,autorizado,trust
502,1061,autorizar,trust
503,1062,avalancha,fear
504,1065,avanzada,fear
505,1066,avanzar,anticipation
506,1070,avaricia,anger
507,1072,avaro,anticipation
508,1073,aventuras,anticipation
509,1076,avergonzado,disgust
510,1078,avergonzar,sadness
511,1079,aversión,anger
512,1085,aviones,fear
513,1086,avispa,fear
514,1087,axioma,trust
515,1088,axiomático,trust
516,1089,Ay,sadness
517,1090,ayuda,fear
518,1091,ayudante,trust
519,1092,ayudar,trust
520,1093,azogue,surprise
521,1094,azotaina,anger
522,1095,azotar,anger
523,1105,azufre,anger
524,1107,azul,sadness
525,1108,bañera,joy
526,1110,baño,disgust
527,1111,babear,disgust
528,1112,babosa,disgust
529,1113,baboso,disgust
530,1114,babuino,disgust
531,1115,bacteria,disgust
532,1120,bálsamo,anticipation
533,1122,bárbaro,anger
534,1126,búnker,fear
535,1127,búsqueda,anticipation
536,1129,bailando,joy
537,1130,baile,joy
538,1132,bala,fear
539,1133,baloncesto,anticipation
540,1135,bancarrota,anger
541,1139,banco,trust
542,1140,banquero,trust
543,1141,banquete,anticipation
544,1143,Banshee,anger
545,1147,barcaza,anger
546,1148,Barf,disgust
547,1149,barman,trust
548,1150,barra,fear
549,1152,barra oblicua,anger
550,1153,barranco,fear
551,1154,barrera,anger
552,1155,barricada,fear
553,1156,barrio,anticipation
554,1157,barrio bajo,disgust
555,1158,base,trust
556,1160,bases,fear
557,1161,bastante,trust
558,1162,Bastardo,anger
559,1165,bastardos,anger
560,1166,bastión,anger
561,1167,basura,disgust
562,1171,batalla,anger
563,1172,batallón,anger
564,1173,batea,anticipation
565,1174,batería,anger
566,1175,bautismal,joy
567,1176,bayoneta,anger
568,1178,bday,joy
569,1179,bebé,joy
570,1180,bebidas,joy
571,1181,bebiendo,joy
572,1182,beca,joy
573,1184,becerro,joy
574,1186,belicoso,anger
575,1188,beligerante,anger
576,1190,belleza,joy
577,1191,bendecidor,trust
578,1192,bendecir,anticipation
579,1195,bendición,anticipation
580,1200,bendiciones,anticipation
581,1204,bendito,joy
582,1205,benefactor,trust
583,1206,benevolencia,joy
584,1208,bengalas,anger
585,1209,benigno,joy
586,1210,berrinche,anger
587,1211,Beso,anticipation
588,1214,bestia,anger
589,1216,bestial,disgust
590,1220,besties,joy
591,1221,bicho raro,fear
592,1222,bienal,anticipation
593,1223,bienestar,joy
594,1224,bienvenida,joy
595,1226,bilis,anger
596,1228,biopsia,fear
597,1229,bisturí,fear
598,1230,blanco,anticipation
599,1233,blancura,joy
600,1234,blasfemia,anger
601,1236,blasfemo,anger
602,1238,blindado,fear
603,1239,Bloq Mayús,anger
604,1240,bloqueo,anger
605,1243,bluddy,anger
606,1244,blues,fear
607,1246,boca,surprise
608,1247,bocado,disgust
609,1248,bocinazo,anger
610,1249,Boda,joy
611,1250,bofetada,anger
612,1252,bomba,anger
613,1256,bombardeado,disgust
614,1257,bombardear,anger
615,1259,bombardeo,anger
616,1265,bombardeo aéreo,surprise
617,1266,bombarderos,fear
618,1267,bombeado,joy
619,1268,bombero,trust
620,1269,bombo,anticipation
621,1270,bonanza,joy
622,1271,bondad,anticipation
623,1275,bonita,anticipation
624,1278,boquiabierto,anticipation
625,1279,borde,anticipation
626,1281,borracho,disgust
627,1282,borrado,anger
628,1284,borrador,anticipation
629,1285,borrar,fear
630,1286,bosque,joy
631,1287,bote,anticipation
632,1290,bovino,disgust
633,1291,boxeo,anger
634,1292,bozal,fear
635,1293,Brújula,trust
636,1294,bragas,trust
637,1295,braguero,trust
638,1296,bribón,anger
639,1299,brida,trust
640,1300,brigada,fear
641,1301,brillante,anticipation
642,1307,brillar,anticipation
643,1310,brillo,anticipation
644,1313,brindis,joy
645,1314,brisa,joy
646,1315,broma,surprise
647,1316,bromista,joy
648,1318,broncearse,joy
649,1319,brote,fear
650,1320,brrr,anger
651,1321,bruja,anger
652,1326,brujería,anger
653,1332,brujo,fear
654,1333,brumoso,sadness
655,1335,brusco,anger
656,1337,brutal,anger
657,1339,brutalidad,anger
658,1341,bruto,anger
659,1345,Buda,joy
660,1346,budismo,joy
661,1347,budista,joy
662,1348,buen día,joy
663,1349,buena música,joy
664,1350,buena vida,joy
665,1351,buenas noticias,joy
666,1352,bueno,anticipation
667,1356,Buenos días,joy
668,1357,Buenos tiempos,joy
669,1358,buffering,anger
670,1359,buffet,anger
671,1360,bufido,sadness
672,1361,bugle,anticipation
673,1362,buitre,disgust
674,1364,bullicioso,anger
675,1367,bumerang,anticipation
676,1369,buque insignia,trust
677,1370,burbuja,joy
678,1371,burdel,disgust
679,1372,burke,anger
680,1376,burla,anger
681,1382,burlas,anger
682,1384,burlesco,surprise
683,1385,burlón,anger
684,1388,burocracia,trust
685,1389,burócrata,disgust
686,1390,Burro,disgust
687,1391,bus,joy
688,1392,buscar,anticipation
689,1393,caña,anger
690,1396,cañón,anger
691,1398,caída,fear
692,1400,caballero,anger
693,1403,caballo,trust
694,1404,cabestro,anger
695,1407,cable,surprise
696,1408,cacao,joy
697,1409,cacofonía,anger
698,1411,cada hombre,fear
699,1412,cadáver,disgust
700,1418,caer,sadness
701,1419,cábala,fear
702,1420,cálculo,anticipation
703,1422,cámping,joy
704,1423,cáncer,anger
705,1427,cánones,trust
706,1428,cárcel,fear
707,1432,cáscara,anger
708,1436,cátedra,trust
709,1437,café,joy
710,1438,cístico,disgust
711,1439,caimán,fear
712,1440,cajero,trust
713,1441,calambre,anticipation
714,1442,calamidad,sadness
715,1443,calculadora,trust
716,1444,calentado,anger
717,1445,calentar,joy
718,1446,calibrar,trust
719,1447,calidades,trust
720,1448,calienta,joy
721,1449,caliente,anger
722,1450,calificado,fear
723,1452,calina,fear
724,1453,callejear,disgust
725,1454,calloso,anger
726,1456,calma,anticipation
727,1460,calmante,joy
728,1463,calmar,joy
729,1464,calor,joy
730,1465,calumnia,anger
731,1470,camarada,trust
732,1471,cambiable,anticipation
733,1473,cambio,fear
734,1474,camilla,fear
735,1476,camino,joy
736,1478,camión,trust
737,1479,campanero,anger
738,1480,campeón,anticipation
739,1483,campo,joy
740,1484,campo de batalla,fear
741,1485,camuflaje,surprise
742,1486,caníbal,disgust
743,1488,canal,disgust
744,1489,canalla,anger
745,1494,cancelación,sadness
746,1495,cancelar,sadness
747,1496,canciller,trust
748,1497,cancioneta,joy
749,1498,canguelo,sadness
750,1499,canibalismo,disgust
751,1500,canoso,sadness
752,1501,cansado,fear
753,1504,cansancio,sadness
754,1505,canta,anticipation
755,1509,cantar,anger
756,1513,canto,joy
757,1514,Cantwin,anger
758,1515,caos,anger
759,1518,caótico,anger
760,1519,capa,fear
761,1520,capacidad,trust
762,1521,capellán,trust
763,1522,capricho,anticipation
764,1525,caprichoso,joy
765,1526,captura,surprise
766,1527,capucha,anger
767,1530,carcaj,fear
768,1531,carcinoma,fear
769,1533,cardiomiopatía,fear
770,1535,carga,trust
771,1536,cariño,joy
772,1537,caricatura,fear
773,1538,caricias,joy
774,1539,caridad,joy
775,1540,caries,disgust
776,1541,Caritativo,anticipation
777,1544,carnívoro,fear
778,1545,carnaval,joy
779,1546,carne,disgust
780,1547,carnicería,anger
781,1552,Carnicero,anger
782,1555,carrera,anticipation
783,1558,carretilla,disgust
784,1559,carril,anger
785,1561,carta,anticipation
786,1562,cartel,surprise
787,1563,cartucho,fear
788,1564,casa,joy
789,1565,casa de muñecas,joy
790,1566,casamentero,anticipation
791,1567,casar,anticipation
792,1572,cascada,joy
793,1573,casco,anger
794,1576,caso,fear
795,1578,castidad,anticipation
796,1580,castigado,anger
797,1585,castigar,fear
798,1586,castigo,anger
799,1589,castillo,joy
800,1590,castrar,anger
801,1591,catástrofe,anger
802,1596,catarata,anticipation
803,1599,catecismo,disgust
804,1600,catedral,joy
805,1602,cautelosamente,fear
806,1603,cauteloso,anticipation
807,1610,cautivar,anticipation
808,1614,cautiverio,sadness
809,1615,cautivo,fear
810,1617,cayó,sadness
811,1618,caza,anger
812,1622,caza furtiva,anger
813,1626,cazador,anticipation
814,1629,cazadores furtivos,anger
815,1630,ceñudo,anger
816,1633,cebador,trust
817,1634,cebo,fear
818,1636,ceguera,sadness
819,1637,celebracion,anticipation
820,1641,celebraciones,joy
821,1642,celebrado,anticipation
822,1644,celebrando,anticipation
823,1646,celebrar,joy
824,1647,celebratorio,joy
825,1648,celebridad,anger
826,1654,celestial,anticipation
827,1659,celo,anticipation
828,1663,celos,anger
829,1668,celoso,anger
830,1672,cementerio,fear
831,1674,cemento,anticipation
832,1676,cenagal,disgust
833,1677,censurar,anger
834,1681,centelleo,anticipation
835,1683,centinela,trust
836,1685,centrar,trust
837,1686,cercado,anger
838,1687,cercanía,joy
839,1689,cerdo,disgust
840,1692,ceremonia,joy
841,1694,certificado,trust
842,1695,certificar,trust
843,1696,cerveza,joy
844,1697,cesionario,trust
845,1698,Chai,joy
846,1699,chantaje,anger
847,1701,chapoteo,surprise
848,1702,chica,joy
849,1703,chica con suerte,joy
850,1704,chico,disgust
851,1705,chillido,fear
852,1707,chimenea,joy
853,1708,chirrido,joy
854,1709,chisporrotear,anger
855,1710,chivo expiatorio,anger
856,1712,chocando,anger
857,1714,chocolate,anticipation
858,1717,choque,anger
859,1725,chorro,disgust
860,1727,choza,disgust
861,1730,chubasco,fear
862,1732,chusma,anger
863,1734,cianuro,fear
864,1735,cicatriz,anger
865,1739,ciclón,fear
866,1741,cielo,joy
867,1742,Cielos,joy
868,1744,ciencia ficción,joy
869,1745,científico,anticipation
870,1748,cierre,anticipation
871,1751,ciertamente,trust
872,1752,cinta,anger
873,1755,cinturón,anger
874,1757,circulo,trust
875,1758,circunstancias,joy
876,1760,cirugía,fear
877,1762,cisma,anger
878,1763,citar,anticipation
879,1765,citas,joy
880,1766,citomegalovirus,sadness
881,1767,civil,fear
882,1768,civiles,fear
883,1769,civilización,trust
884,1770,civilizado,joy
885,1772,clásico,joy
886,1773,clásicos,joy
887,1774,clímax,anticipation
888,1778,clínico,fear
889,1779,clamor,anger
890,1783,clan,trust
891,1784,claridad,joy
892,1785,clasificación,anger
893,1788,claustrofobia,fear
894,1789,claustrófobo,fear
895,1790,clerical,trust
896,1791,coacción,anger
897,1795,coño,anger
898,1796,cobardía,fear
899,1798,cobarde,disgust
900,1801,cobardemente,fear
901,1802,cobija,trust
902,1803,cobra,fear
903,1804,cobrable,fear
904,1806,cocaína,sadness
905,1807,coche de turismo,joy
906,1809,coche fúnebre,fear
907,1811,cocodrilo,fear
908,1812,codicia,anger
909,1814,codicioso,disgust
910,1815,codo,anger
911,1816,codorniz,fear
912,1817,coerción,anger
913,1821,coexistiendo,trust
914,1822,coexistir,trust
915,1823,coger,surprise
916,1824,cohesión,trust
917,1825,cohesivo,trust
918,1826,cohete,anger
919,1827,coincidencia,surprise
920,1828,colaborador,trust
921,1829,colapso,disgust
922,1832,colas,anger
923,1833,colateral,trust
924,1834,colectivamente,trust
925,1835,colegio,trust
926,1836,cólera,disgust
927,1839,colgando,anger
928,1843,colisión,anger
929,1844,colmillos,fear
930,1845,columna vertebral,anger
931,1847,colusión,anger
932,1851,coma,fear
933,1853,comandante,trust
934,1854,comatoso,fear
935,1856,combate,anger
936,1859,combatido,anger
937,1862,combatiente,anger
938,1864,combativo,anger
939,1866,comenzado,anticipation
940,1867,comerciante,trust
941,1868,comercio,trust
942,1871,cometa,disgust
943,1872,cómico,disgust
944,1873,comida,joy
945,1875,comienzo,anticipation
946,1878,comisión,trust
947,1879,comité,trust
948,1880,comodidad,anticipation
949,1883,comodoro,trust
950,1884,compañero,anticipation
951,1892,compacto,trust
952,1893,compadecerse,sadness
953,1894,compartiendo,joy
954,1895,compartir,anticipation
955,1898,compasión,fear
956,1900,compasivo,trust
957,1901,compatriota,trust
958,1902,compensar,anticipation
959,1907,competencia,anticipation
960,1915,competente,trust
961,1917,competitivo,anger
962,1918,Complementario,trust
963,1919,complemento,anticipation
964,1923,completamente,trust
965,1925,completando,anticipation
966,1927,completar,joy
967,1928,completo,joy
968,1929,complicar,anger
969,1930,compost,disgust
970,1931,compras,anticipation
971,1935,comprensión,trust
972,1936,comprimir,anger
973,1937,comprometido,anticipation
974,1941,compromiso,sadness
975,1942,compulsión,anger
976,1943,comunicación,trust
977,1944,comunicar,trust
978,1945,comunión,joy
979,1947,comunismo,anger
980,1950,con crueldad,anger
981,1952,con miedo,fear
982,1955,conceder,anticipation
983,1958,conciencia,trust
984,1960,concienzudo,trust
985,1961,conciliación,joy
986,1963,concordancia,trust
987,1964,concordia,trust
988,1965,concusión,anger
989,1967,condado,trust
990,1968,condenación,anger
991,1976,condenado,fear
992,1978,condenar,anger
993,1984,condescendencia,anger
994,1987,condición,trust
995,1988,condiciones,trust
996,1989,condolencia,sadness
997,1990,condolencias,sadness
998,1991,conectado a tierra,fear
999,1993,conectivo,trust
1000,1994,confederado,trust
1001,1995,confesar,sadness
1002,1997,confesión,anticipation
1003,2002,confesional,fear
1004,2004,confiabilidad,trust
1005,2005,confiable,trust
1006,2006,confiando,trust
1007,2007,confianza,anticipation
1008,2013,confiar,trust
1009,2016,confidencial,trust
1010,2017,confidente,fear
1011,2020,confinado,anger
1012,2024,confinamiento,anger
1013,2027,confinar,anger
1014,2030,confirmación,trust
1015,2031,confirmado,trust
1016,2032,confiscar,anger
1017,2034,conflagración,anger
1018,2036,conflicto,anger
1019,2039,conformidad,trust
1020,2041,confortable,joy
1021,2042,confrontar,anger
1022,2043,confundido,surprise
1023,2044,confundir,surprise
1024,2045,confusión,anger
1025,2046,Confusión,anger
1026,2051,conglomerado,trust
1027,2052,congratulatorio,joy
1028,2053,congregación,trust
1029,2054,congresista,trust
1030,2055,congreso,disgust
1031,2057,congruencia,trust
1032,2058,conjetura,anticipation
1033,2059,conjunto,trust
1034,2060,conjurar,anticipation
1035,2062,conmemoración,anticipation
1036,2064,conmemorar,anticipation
1037,2067,conmemorativo,anticipation
1038,2068,conmoción,anger
1039,2069,conmovedor,joy
1040,2070,conocedor,joy
1041,2072,Conocedor gourmet,joy
1042,2073,conquista,anger
1043,2075,conquistar,fear
1044,2077,consagración,anticipation
1045,2081,consejero,anger
1046,2085,Consejo,anticipation
1047,2086,consejo,trust
1048,2089,conservación,anticipation
1049,2091,conservar,trust
1050,2092,considerado,trust
1051,2093,considerar,trust
1052,2094,Consigue uno propio,anger
1053,2095,consiguiente,anticipation
1054,2096,consistencia,trust
1055,2097,consola,sadness
1056,2098,consolador,joy
1057,2099,consorte,trust
1058,2100,conspiración,fear
1059,2101,conspirador,anger
1060,2105,conspirar,fear
1061,2106,constancia,trust
1062,2107,constante,trust
1063,2108,constantemente,trust
1064,2109,consternación,anger
1065,2116,constitucional,trust
1066,2117,constituir,trust
1067,2118,constreñir,fear
1068,2119,cónsul,trust
1069,2120,consultar,trust
1070,2121,consumado,joy
1071,2122,contador,trust
1072,2123,contagio,anticipation
1073,2126,contagioso,disgust
1074,2129,contaminación,disgust
1075,2131,contaminado,disgust
1076,2134,contaminar,disgust
1077,2136,contar,trust
1078,2137,contemplación,anticipation
1079,2138,contemplar,anticipation
1080,2139,contencioso,anger
1081,2142,contener,anger
1082,2144,contenido,fear
1083,2147,contentamiento,joy
1084,2148,contento,anticipation
1085,2152,contingente,anticipation
1086,2153,continuación,anticipation
1087,2155,continuar,anticipation
1088,2158,contrabandista,anger
1089,2161,contrabando,anger
1090,2164,contradecir,anger
1091,2165,contraerse de dolor,anger
